Részvény: AAA

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2008-03-03	229.0000	228.0000	216.0000	229.0000	26264
2008-03-04	220.0000	228.0000	220.0000	228.0000	7411
2008-03-05	223.0000	225.0000	220.0000	225.0000	79320
2008-03-06	220.0000	219.0000	212.0000	220.0000	2388
2008-03-07	212.0000	196.0000	187.0000	212.0000	62934
2008-03-10	190.0000	180.0000	180.0000	200.0000	7635
2008-03-11	178.0000	173.0000	170.0000	183.0000	33857
2008-03-12	174.0000	185.0000	174.0000	192.0000	14401
2008-03-13	182.0000	189.0000	178.0000	190.0000	4293
2008-03-14	181.0000	186.0000	179.0000	187.0000	12005
2008-03-17	181.0000	185.0000	175.0000	185.0000	7086
2008-03-18	175.0000	173.0000	172.0000	180.0000	117103
2008-03-19	180.0000	172.0000	172.0000	181.0000	16357
2008-03-20	175.0000	170.0000	169.0000	175.0000	4342
2008-03-21	170.0000	177.0000	170.0000	177.0000	29590
2008-03-25	175.0000	198.0000	175.0000	202.0000	33255
2008-03-26	200.0000	190.0000	190.0000	203.0000	54505
2008-03-27	188.0000	194.0000	188.0000	196.0000	54224
2008-03-28	194.0000	198.0000	194.0000	200.0000	3713
2008-03-31	197.0000	199.0000	183.0000	199.0000	19276
2008-04-01	199.0000	198.0000	190.0000	199.0000	73592
2008-04-02	199.0000	200.0000	198.0000	203.0000	5542
2008-04-03	193.0000	195.0000	193.0000	200.0000	2520
2008-04-04	204.0000	194.0000	194.0000	204.0000	2685
2008-04-07	193.0000	200.0000	193.0000	200.0000	911
2008-04-08	196.0000	195.0000	194.0000	198.0000	25450
2008-04-09	193.0000	193.0000	193.0000	198.0000	6000
2008-04-10	192.0000	188.0000	188.0000	192.0000	5690
2008-04-11	188.0000	190.0000	187.0000	190.0000	10434
2008-04-14	184.0000	184.0000	184.0000	184.0000	1100
2008-04-15	190.0000	187.0000	186.0000	193.0000	3061
2008-04-16	188.0000	188.0000	188.0000	188.0000	200
2008-04-17	194.0000	195.0000	194.0000	195.0000	990
2008-04-18	195.0000	194.0000	194.0000	195.0000	6500
2008-04-21	197.0000	195.0000	193.0000	197.0000	3210
2008-04-22	193.0000	192.0000	192.0000	193.0000	820
2008-04-23	191.0000	195.0000	190.0000	197.0000	13950
2008-04-24	196.0000	197.0000	193.0000	197.0000	4235
2008-04-25	193.0000	198.0000	193.0000	198.0000	5220
2008-04-28	198.0000	202.0000	193.0000	202.0000	27362
2008-04-29	204.0000	202.0000	198.0000	204.0000	130517
2008-04-30	205.0000	220.0000	205.0000	220.0000	22406
2008-05-05	220.0000	220.0000	214.0000	220.0000	3738
2008-05-06	212.0000	211.0000	211.0000	213.0000	1898
2008-05-07	212.0000	236.0000	210.0000	236.0000	16401
2008-05-08	235.0000	233.0000	231.0000	235.0000	11132
2008-05-09	227.0000	245.0000	227.0000	248.0000	55865
2008-05-13	250.0000	278.0000	250.0000	281.0000	73147
2008-05-14	284.0000	278.0000	278.0000	296.0000	276078
2008-05-15	285.0000	282.0000	274.0000	285.0000	33784
2008-05-16	285.0000	276.0000	270.0000	285.0000	7880
2008-05-19	272.0000	261.0000	261.0000	272.0000	15695
2008-05-20	261.0000	261.0000	259.0000	269.0000	8407
2008-05-21	265.0000	253.0000	253.0000	265.0000	3235
2008-05-22	251.0000	250.0000	243.0000	253.0000	49004
2008-05-23	242.0000	236.0000	234.0000	242.0000	9466
2008-05-26	240.0000	226.0000	213.0000	240.0000	11193
2008-05-27	225.0000	220.0000	220.0000	225.0000	3570
2008-05-28	223.0000	220.0000	220.0000	223.0000	2064
2008-05-29	220.0000	222.0000	215.0000	222.0000	1920
2008-05-30	220.0000	238.0000	220.0000	241.0000	39722
2008-06-02	237.0000	233.0000	231.0000	242.0000	7100
2008-06-04	225.0000	221.0000	221.0000	233.0000	2510
2008-06-05	223.0000	224.0000	222.0000	229.0000	2210
2008-06-06	226.0000	229.0000	226.0000	236.0000	99408
2008-06-09	221.0000	227.0000	217.0000	230.0000	6021
2008-06-10	215.0000	220.0000	215.0000	220.0000	993
2008-06-11	228.0000	228.0000	228.0000	228.0000	10
2008-06-12	212.0000	214.0000	206.0000	225.0000	10472
2008-06-13	223.0000	223.0000	223.0000	223.0000	62
2008-06-16	211.0000	212.0000	206.0000	215.0000	24454
2008-06-17	207.0000	207.0000	207.0000	207.0000	1000
2008-06-18	210.0000	210.0000	210.0000	210.0000	588
2008-06-19	209.0000	205.0000	201.0000	212.0000	15899
2008-06-23	200.0000	190.0000	190.0000	200.0000	5215
2008-06-24	198.0000	185.0000	185.0000	198.0000	20561
2008-06-25	185.0000	183.0000	183.0000	185.0000	13833
2008-06-27	180.0000	190.0000	180.0000	190.0000	7955
2008-07-01	187.0000	181.0000	181.0000	187.0000	2122
2008-07-02	184.0000	181.0000	181.0000	184.0000	7000
2008-07-03	181.0000	174.0000	172.0000	181.0000	7440
2008-07-04	176.0000	171.0000	171.0000	176.0000	10112
2008-07-07	175.0000	175.0000	173.0000	175.0000	1500
2008-07-08	175.0000	175.0000	175.0000	175.0000	120
2008-07-09	165.0000	170.0000	165.0000	170.0000	13441
2008-07-10	166.0000	175.0000	165.0000	179.0000	51455
2008-07-14	170.0000	163.0000	163.0000	175.0000	7995
2008-07-15	167.0000	164.0000	164.0000	167.0000	220
2008-07-16	165.0000	155.0000	145.0000	165.0000	32460
2008-07-17	155.0000	164.0000	155.0000	164.0000	6244
2008-07-21	165.0000	170.0000	165.0000	170.0000	2990
2008-07-22	160.0000	165.0000	160.0000	170.0000	2335
2008-07-23	162.0000	181.0000	162.0000	182.0000	15548
2008-07-24	183.0000	183.0000	167.0000	183.0000	708
2008-07-28	180.0000	173.0000	167.0000	180.0000	1670
2008-07-29	166.0000	165.0000	165.0000	167.0000	2350
2008-07-30	169.0000	179.0000	166.0000	179.0000	4363
2008-07-31	169.0000	168.0000	168.0000	169.0000	1368
2008-08-01	179.0000	179.0000	179.0000	179.0000	5
2008-08-04	170.0000	170.0000	170.0000	174.0000	3503
2008-08-05	166.0000	178.0000	166.0000	180.0000	6933
2008-08-06	175.0000	170.0000	170.0000	180.0000	12077
2008-08-07	171.0000	170.0000	170.0000	171.0000	6205
2008-08-08	172.0000	166.0000	166.0000	172.0000	512
2008-08-11	177.0000	173.0000	173.0000	177.0000	30
2008-08-12	165.0000	170.0000	165.0000	177.0000	154
2008-08-13	180.0000	170.0000	165.0000	180.0000	4381
2008-08-14	164.0000	170.0000	164.0000	170.0000	2002
2008-08-15	177.0000	161.0000	161.0000	177.0000	612
2008-08-18	162.0000	169.0000	162.0000	170.0000	162
2008-08-19	169.0000	173.0000	169.0000	173.0000	1171
2008-08-21	170.0000	170.0000	163.0000	170.0000	102
2008-08-22	166.0000	170.0000	150.0000	170.0000	17756
2008-08-25	172.0000	171.0000	156.0000	172.0000	102
2008-08-26	161.0000	169.0000	161.0000	169.0000	89
2008-08-27	167.0000	168.0000	167.0000	168.0000	540
2008-08-28	172.0000	175.0000	171.0000	175.0000	2662
2008-08-29	175.0000	183.0000	175.0000	184.0000	16844
2008-09-01	182.0000	171.0000	171.0000	182.0000	2302
2008-09-02	179.0000	185.0000	179.0000	185.0000	25105
2008-09-03	185.0000	175.0000	175.0000	185.0000	13994
2008-09-04	174.0000	181.0000	170.0000	181.0000	2806
2008-09-05	172.0000	177.0000	172.0000	177.0000	1500
2008-09-08	179.0000	178.0000	176.0000	179.0000	8551
2008-09-09	172.0000	176.0000	171.0000	176.0000	741
2008-09-12	174.0000	176.0000	171.0000	176.0000	1162
2008-09-15	165.0000	165.0000	155.0000	169.0000	1502
2008-09-16	154.0000	161.0000	151.0000	161.0000	10907
2008-09-17	152.0000	150.0000	150.0000	158.0000	12725
2008-09-18	128.0000	155.0000	128.0000	155.0000	7665
2008-09-19	159.0000	160.0000	156.0000	160.0000	10121
2008-09-22	155.0000	156.0000	149.0000	156.0000	5800
2008-09-23	153.0000	149.0000	149.0000	153.0000	365
2008-09-24	155.0000	150.0000	150.0000	155.0000	650
2008-09-25	149.0000	145.0000	142.0000	149.0000	1144
2008-09-26	145.0000	144.0000	144.0000	145.0000	1500
2008-09-29	144.0000	145.0000	144.0000	146.0000	2967
2008-09-30	140.0000	135.0000	129.0000	141.0000	18726
2008-10-01	140.0000	140.0000	140.0000	140.0000	2080
2008-10-02	137.0000	138.0000	136.0000	140.0000	9250
2008-10-03	135.0000	130.0000	129.0000	135.0000	5450
2008-10-06	129.0000	129.0000	129.0000	129.0000	640
2008-10-07	129.0000	119.0000	119.0000	129.0000	1354
2008-10-08	110.0000	108.0000	102.0000	111.0000	14024
2008-10-09	105.0000	110.0000	99.0000	110.0000	22346
2008-10-10	99.0000	94.0000	94.0000	99.0000	3615
2008-10-13	85.0000	100.0000	85.0000	107.0000	494
2008-10-14	101.0000	115.0000	101.0000	115.0000	52960
2008-10-15	123.0000	100.0000	100.0000	124.0000	71730
2008-10-16	95.0000	100.0000	86.0000	110.0000	6207
2008-10-17	101.0000	91.0000	91.0000	101.0000	10022
2008-10-20	96.0000	96.0000	96.0000	96.0000	3531
2008-10-21	105.0000	103.0000	90.0000	105.0000	6463
2008-10-22	95.0000	100.0000	95.0000	100.0000	10330
2008-10-27	95.0000	85.0000	85.0000	95.0000	9380
2008-10-28	90.0000	90.0000	90.0000	93.0000	1247
2008-10-29	90.0000	94.0000	90.0000	100.0000	42507
2008-10-30	93.0000	89.0000	88.0000	95.0000	19553
2008-10-31	93.0000	89.0000	89.0000	93.0000	14180
2008-11-03	90.0000	90.0000	90.0000	94.0000	6398
2008-11-04	90.0000	93.0000	90.0000	93.0000	24381
2008-11-05	91.0000	90.0000	89.0000	92.0000	14290
2008-11-06	89.0000	86.0000	86.0000	89.0000	2898
2008-11-07	86.0000	87.0000	86.0000	90.0000	7568
2008-11-10	89.0000	89.0000	88.0000	90.0000	15303
2008-11-11	91.0000	89.0000	87.0000	91.0000	2819
2008-11-12	86.0000	89.0000	85.0000	89.0000	2900
2008-11-13	85.0000	89.0000	82.0000	89.0000	1711
2008-11-14	88.0000	88.0000	88.0000	89.0000	3910
2008-11-17	87.0000	84.0000	84.0000	87.0000	1325
2008-11-18	84.0000	82.0000	76.0000	84.0000	7962
2008-11-19	75.0000	81.0000	75.0000	81.0000	2
2008-11-20	82.0000	74.0000	70.0000	82.0000	19391
2008-11-21	80.0000	75.0000	75.0000	80.0000	1111
2008-11-24	82.0000	82.0000	82.0000	82.0000	675
2008-11-25	75.0000	80.0000	75.0000	80.0000	5187
2008-11-26	80.0000	82.0000	80.0000	82.0000	1176
2008-11-28	81.0000	79.0000	77.0000	82.0000	16320
2008-12-01	81.0000	90.0000	81.0000	90.0000	30755
2008-12-02	82.0000	89.0000	82.0000	89.0000	9889
2008-12-03	86.0000	79.0000	76.0000	86.0000	30042
2008-12-04	79.0000	81.0000	79.0000	83.0000	10127
2008-12-05	82.0000	79.0000	78.0000	82.0000	10631
2008-12-08	79.0000	83.0000	79.0000	83.0000	5390
2008-12-09	81.0000	82.0000	81.0000	83.0000	3276
2008-12-10	81.0000	81.0000	77.0000	81.0000	11123
2008-12-11	80.0000	81.0000	80.0000	81.0000	4954
2008-12-12	79.0000	80.0000	79.0000	80.0000	7388
2008-12-15	80.0000	82.0000	76.0000	82.0000	13503
2008-12-16	77.0000	82.0000	75.0000	82.0000	33367
2008-12-17	78.0000	78.0000	78.0000	79.0000	5765
2008-12-18	78.0000	88.0000	78.0000	88.0000	40129
2008-12-19	85.0000	82.0000	82.0000	85.0000	4481
2008-12-22	81.0000	81.0000	81.0000	83.0000	11360
2008-12-23	80.0000	85.0000	80.0000	85.0000	6342
2008-12-29	85.0000	82.0000	82.0000	86.0000	4915
2008-12-30	81.0000	81.0000	80.0000	81.0000	19413
2008-12-31	83.0000	83.0000	83.0000	83.0000	10
2009-01-05	83.0000	85.0000	82.0000	85.0000	8250
2009-01-07	84.0000	86.0000	82.0000	86.0000	2706
2009-01-08	83.0000	84.0000	83.0000	84.0000	1180
2009-01-09	84.0000	81.0000	81.0000	84.0000	64
2009-01-12	80.0000	79.0000	79.0000	81.0000	5131
