Részvény: BUX0912

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2008-05-07	0.0000	24500.0000	0.0000	0.0000	0
2008-05-08	0.0000	24798.5000	0.0000	0.0000	0
2008-05-09	0.0000	24840.5000	0.0000	0.0000	0
2008-05-13	0.0000	25000.0000	0.0000	0.0000	0
2008-05-14	0.0000	25000.0000	0.0000	0.0000	0
2008-05-15	0.0000	25173.0000	0.0000	0.0000	0
2008-05-16	0.0000	25173.0000	0.0000	0.0000	0
2008-05-19	0.0000	25173.0000	0.0000	0.0000	0
2008-05-20	24200.0000	24200.0000	24200.0000	24200.0000	1
2008-05-21	0.0000	24450.0000	0.0000	0.0000	0
2008-05-22	0.0000	24450.0000	0.0000	0.0000	0
2008-05-23	0.0000	24730.0000	0.0000	0.0000	0
2008-05-26	0.0000	24730.0000	0.0000	0.0000	0
2008-05-27	0.0000	24730.0000	0.0000	0.0000	0
2008-05-28	0.0000	24730.0000	0.0000	0.0000	0
2008-05-29	0.0000	24730.0000	0.0000	0.0000	0
2008-05-30	0.0000	24730.0000	0.0000	0.0000	0
2008-06-02	0.0000	24730.0000	0.0000	0.0000	0
2008-06-03	0.0000	24730.0000	0.0000	0.0000	0
2008-06-04	0.0000	24730.0000	0.0000	0.0000	0
2008-06-05	0.0000	24730.0000	0.0000	0.0000	0
2008-06-06	23900.0000	23900.0000	23900.0000	23900.0000	1
2008-06-09	0.0000	23900.0000	0.0000	0.0000	0
2008-06-10	0.0000	23900.0000	0.0000	0.0000	0
2008-06-11	0.0000	23900.0000	0.0000	0.0000	0
2008-06-12	0.0000	23900.0000	0.0000	0.0000	0
2008-06-13	0.0000	23889.0000	0.0000	0.0000	0
2008-06-16	0.0000	23889.0000	0.0000	0.0000	0
2008-06-17	0.0000	23889.0000	0.0000	0.0000	0
2008-06-18	0.0000	23889.0000	0.0000	0.0000	0
2008-06-19	0.0000	23779.0000	0.0000	0.0000	0
2008-06-20	23779.0000	23500.0000	23500.0000	23779.0000	101
2008-06-23	23101.0000	23000.0000	23000.0000	23101.0000	4
2008-06-24	22200.0000	22999.0000	22200.0000	23000.0000	330
2008-06-25	22999.0000	22999.0000	22999.0000	22999.0000	4
2008-06-26	0.0000	22999.0000	0.0000	0.0000	0
2008-06-27	22800.0000	22800.0000	22800.0000	22800.0000	200
2008-06-30	0.0000	22800.0000	0.0000	0.0000	0
2008-07-01	0.0000	22770.0000	0.0000	0.0000	0
2008-07-02	0.0000	22770.0000	0.0000	0.0000	0
2008-07-03	21700.0000	22400.0000	21700.0000	22400.0000	55
2008-07-04	0.0000	22400.0000	0.0000	0.0000	0
2008-07-07	22000.0000	22000.0000	22000.0000	22000.0000	4
2008-07-08	22000.0000	22000.0000	22000.0000	22000.0000	50
2008-07-09	0.0000	22400.0000	0.0000	0.0000	0
2008-07-10	0.0000	22400.0000	0.0000	0.0000	0
2008-07-11	0.0000	22400.0000	0.0000	0.0000	0
2008-07-14	24000.0000	23500.0000	24000.0000	24000.0000	36
2008-07-15	22999.0000	22999.0000	22999.0000	22999.0000	1
2008-07-16	0.0000	22960.5000	0.0000	0.0000	0
2008-07-17	23200.0000	23000.0000	23000.0000	23300.0000	30
2008-07-18	23400.0000	23400.0000	23400.0000	23400.0000	5
2008-07-21	22970.0000	22970.0000	22970.0000	22970.0000	5
2008-07-22	22950.0000	22950.0000	22950.0000	22950.0000	1
2008-07-23	23290.0000	23500.0000	23290.0000	23690.0000	10
2008-07-24	23290.0000	23200.0000	23150.0000	23290.0000	60
2008-07-25	23200.0000	23200.0000	23200.0000	23200.0000	35
2008-07-28	0.0000	23200.0000	0.0000	0.0000	0
2008-07-29	0.0000	23200.0000	0.0000	0.0000	0
2008-07-30	23550.0000	23990.0000	23550.0000	23990.0000	11
2008-07-31	23750.0000	23750.0000	23750.0000	23750.0000	15
2008-08-01	0.0000	23750.0000	0.0000	0.0000	0
2008-08-04	0.0000	23750.0000	0.0000	0.0000	0
2008-08-05	23250.0000	23250.0000	23250.0000	23250.0000	6
2008-08-06	0.0000	23400.0000	0.0000	0.0000	0
2008-08-07	0.0000	23400.0000	0.0000	0.0000	0
2008-08-08	23011.0000	23011.0000	23011.0000	23011.0000	6
2008-08-11	0.0000	23456.5000	0.0000	0.0000	0
2008-08-12	22650.0000	22650.0000	22650.0000	22650.0000	11
2008-08-13	0.0000	22600.0000	0.0000	0.0000	0
2008-08-14	22500.0000	22600.0000	22500.0000	22600.0000	30
2008-08-15	0.0000	22600.0000	0.0000	0.0000	0
2008-08-18	0.0000	22600.0000	0.0000	0.0000	0
2008-08-19	21900.0000	21900.0000	21900.0000	21900.0000	10
2008-08-21	0.0000	21900.0000	0.0000	0.0000	0
2008-08-22	22000.0000	22000.0000	22000.0000	22000.0000	7
2008-08-25	0.0000	22100.0000	0.0000	0.0000	0
2008-08-26	22100.0000	22100.0000	22100.0000	22100.0000	1
2008-08-27	22000.0000	22000.0000	22000.0000	22000.0000	2
2008-08-28	0.0000	22000.0000	0.0000	0.0000	0
2008-08-29	0.0000	22066.5000	0.0000	0.0000	0
2008-09-01	0.0000	22110.0000	0.0000	0.0000	0
2008-09-02	22250.0000	22250.0000	22250.0000	22250.0000	2
2008-09-03	0.0000	22250.0000	0.0000	0.0000	0
2008-09-04	0.0000	22250.0000	0.0000	0.0000	0
2008-09-05	21901.0000	21200.0000	21200.0000	21901.0000	23
2008-09-08	0.0000	21200.0000	0.0000	0.0000	0
2008-09-09	21300.0000	21300.0000	21300.0000	21300.0000	100
2008-09-10	0.0000	21300.0000	0.0000	0.0000	0
2008-09-11	21300.0000	21300.0000	21300.0000	21300.0000	1
2008-09-12	0.0000	21300.0000	0.0000	0.0000	0
2008-09-15	21300.0000	20400.0000	20200.0000	21300.0000	51
2008-09-16	0.0000	20400.0000	0.0000	0.0000	0
