Részvény: BUX

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
1991-05-15	0.0000	1154.0000	0.0000	0.0000	0
1991-05-16	0.0000	1152.0000	0.0000	0.0000	0
1991-05-17	0.0000	1150.0000	0.0000	0.0000	0
1991-05-20	0.0000	1157.0000	0.0000	0.0000	0
1991-05-21	0.0000	1160.0000	0.0000	0.0000	0
1991-05-22	0.0000	1160.0000	0.0000	0.0000	0
1991-05-23	0.0000	1154.0000	0.0000	0.0000	0
1991-05-24	0.0000	1145.0000	0.0000	0.0000	0
1991-05-27	0.0000	1137.0000	0.0000	0.0000	0
1991-05-28	0.0000	1123.0000	0.0000	0.0000	0
1991-05-29	0.0000	1122.0000	0.0000	0.0000	0
1991-05-30	0.0000	1120.0000	0.0000	0.0000	0
1991-05-31	0.0000	1115.0000	0.0000	0.0000	0
1991-06-03	0.0000	1123.0000	0.0000	0.0000	0
1991-06-04	0.0000	1129.0000	0.0000	0.0000	0
1991-06-05	0.0000	1127.0000	0.0000	0.0000	0
1991-06-06	0.0000	1126.0000	0.0000	0.0000	0
1991-06-07	0.0000	1123.0000	0.0000	0.0000	0
1991-06-10	0.0000	1122.0000	0.0000	0.0000	0
1991-06-11	0.0000	1125.0000	0.0000	0.0000	0
1991-06-12	0.0000	1118.0000	0.0000	0.0000	0
1991-06-13	0.0000	1116.0000	0.0000	0.0000	0
1991-06-14	0.0000	1110.0000	0.0000	0.0000	0
1991-06-17	0.0000	1103.0000	0.0000	0.0000	0
1991-06-18	0.0000	1099.0000	0.0000	0.0000	0
1991-06-19	0.0000	1105.0000	0.0000	0.0000	0
1991-06-20	0.0000	1110.0000	0.0000	0.0000	0
1991-06-21	0.0000	1117.0000	0.0000	0.0000	0
1991-06-24	0.0000	1098.0000	0.0000	0.0000	0
1991-06-25	0.0000	1090.0000	0.0000	0.0000	0
1991-06-26	0.0000	1080.0000	0.0000	0.0000	0
1991-06-27	0.0000	1073.0000	0.0000	0.0000	0
1991-06-28	0.0000	1063.0000	0.0000	0.0000	0
1991-07-01	0.0000	1061.0000	0.0000	0.0000	0
1991-07-02	0.0000	1064.0000	0.0000	0.0000	0
1991-07-03	0.0000	1060.0000	0.0000	0.0000	0
1991-07-04	0.0000	1051.0000	0.0000	0.0000	0
1991-07-05	0.0000	1035.0000	0.0000	0.0000	0
1991-07-08	0.0000	1020.0000	0.0000	0.0000	0
1991-07-09	0.0000	1016.0000	0.0000	0.0000	0
1991-07-10	0.0000	997.0000	0.0000	0.0000	0
1991-07-11	0.0000	1007.0000	0.0000	0.0000	0
1991-07-12	0.0000	1020.0000	0.0000	0.0000	0
1991-07-15	0.0000	1018.0000	0.0000	0.0000	0
1991-07-16	0.0000	1013.0000	0.0000	0.0000	0
1991-07-17	0.0000	1009.0000	0.0000	0.0000	0
1991-07-18	0.0000	1009.0000	0.0000	0.0000	0
1991-07-19	0.0000	1004.0000	0.0000	0.0000	0
1991-07-22	0.0000	1000.0000	0.0000	0.0000	0
1991-07-23	0.0000	993.0000	0.0000	0.0000	0
1991-07-24	0.0000	987.0000	0.0000	0.0000	0
1991-07-25	0.0000	983.0000	0.0000	0.0000	0
1991-07-26	0.0000	977.0000	0.0000	0.0000	0
1991-07-29	0.0000	990.0000	0.0000	0.0000	0
1991-07-30	0.0000	987.0000	0.0000	0.0000	0
1991-07-31	0.0000	982.0000	0.0000	0.0000	0
1991-08-01	0.0000	983.0000	0.0000	0.0000	0
1991-08-02	0.0000	972.0000	0.0000	0.0000	0
1991-08-05	0.0000	962.0000	0.0000	0.0000	0
1991-08-06	0.0000	962.0000	0.0000	0.0000	0
1991-08-07	0.0000	956.0000	0.0000	0.0000	0
1991-08-08	0.0000	958.0000	0.0000	0.0000	0
1991-08-09	0.0000	956.0000	0.0000	0.0000	0
1991-08-12	0.0000	952.0000	0.0000	0.0000	0
1991-08-13	0.0000	951.0000	0.0000	0.0000	0
1991-08-14	0.0000	952.0000	0.0000	0.0000	0
1991-08-15	0.0000	953.0000	0.0000	0.0000	0
1991-08-16	0.0000	952.0000	0.0000	0.0000	0
1991-08-21	0.0000	895.0000	0.0000	0.0000	0
1991-08-22	0.0000	919.0000	0.0000	0.0000	0
1991-08-23	0.0000	934.0000	0.0000	0.0000	0
